Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
1,600,,1.105,,,
1,1000,,5.082,,,
1,1400,,14.470,,,
1,1800,,32.185,,,
1,2200,,59.041,,,
1,2600,,98.577,,,
1,3000,,153.841,,,
