Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
5,600,,0.031,1760010,15376,37067
5,1000,,0.111,8867819,77331,340642
5,1400,,0.270,41505065,57747,1124048
5,1800,,0.527,91337513,124918,2326354
5,2200,,0.961,167448756,264887,4398878
5,2600,,1.664,273145858,442352,6615534
5,3000,,2.602,426090484,775659,9150810
5,4096,,6.971,1084513156,2602809,19369899
5,6144,,25.389,3670468012,11272565,59315693
5,8192,,69.113,8711944782,44266210,119317926
5,10240,,153.380,17000917190,94894102,234013417
