Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
2,600,,0.537,,,
2,1000,,2.489,,,
2,1400,,6.754,,,
2,1800,,14.254,,,
2,2200,,26.014,,,
2,2600,,42.881,,,
2,3000,,65.656,,,
