Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
1,600,,1.095,,,
1,1000,,5.077,,,
1,1400,,14.334,,,
1,1800,,31.980,,,
1,2200,,58.879,,,
1,2600,,98.592,,,
1,3000,,152.119,,,
