Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
6,600,,0.231,3986340,2333149,70332
6,1000,,0.763,20867879,6578932,12976299
6,1400,,2.049,48646905,13558291,21850291
6,1800,,3.617,93841855,21824637,39846741
6,2200,,6.314,151539900,36073985,64539492
6,2600,,9.765,235263627,51369861,96777487
6,3000,,14.121,345641206,73097189,106436501
6,4096,,31.348,820208006,115202126,225020037
6,6144,,91.630,2573224699,234858398,729156955
6,8192,,218.408,6090962482,583870654,995756468
6,10240,,398.287,11455690970,995165643,2211393558
