Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
2,600,,0.537,,,
2,1000,,2.477,,,
2,1400,,6.779,,,
2,1800,,14.316,,,
2,2200,,26.092,,,
2,2600,,42.803,,,
2,3000,,66.072,,,
