Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
5,600,,0.028,1781371,16129,39119
5,1000,,0.112,8953392,64359,335744
5,1400,,0.282,41306947,68199,869665
5,1800,,0.525,89978346,140109,2662321
5,2200,,0.963,166918376,227310,4484273
5,2600,,1.940,275208119,650634,7751350
5,3000,,2.527,423709386,664471,8443601
5,4096,,7.679,1083354146,2401433,17710293
5,6144,,24.713,3669842763,10170458,64271732
5,8192,,64.447,8701737804,29919355,133539909
5,10240,,141.443,16991645387,80298287,248481604
