Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
4,4096,128,21.316,10283277123,144095987,1655152130
4,4096,256,22.815,9301017138,1102269193,1693126954
4,4096,512,21.966,9224426583,1481647908,1549955422
4,6144,128,72.289,34527588620,555825157,6063518345
4,6144,256,76.112,31438254409,3655666151,5245109254
4,6144,512,69.922,30474675211,2403160587,3238019816
4,8192,128,180.102,81339836278,3749543284,18873533243
4,8192,256,191.976,76355472212,13478672125,18031876722
4,8192,512,169.966,73503375969,11208157876,11567791635
4,10240,128,339.693,160048489525,3427096606,29130797140
4,10240,256,351.314,144613413142,16732203991,25930677941
4,10240,512,320.730,140979233349,10976793319,15181461060
